NAZWA_CREO,                        NUMER,                            NAZWA,                                   ILOSC, TYP , MATERIAL,             OBROBKA_CIEPLNA,           OBROBKA_POWIERZCHNI,                      UWAGI,
IX24_02020105-PL_ZDERZ-L        , IX24.02.02.01.05                , PL_ZDERZ                               ,  1   , -L , X5CRNI18-10         , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
IX24_02020106-WALEK_DYST_ROZ-T  , IX24.02.02.01.06                , WALEK_DYST_ROZ                         ,  2   , -T , C45                 , Brak / None              , Cynkować / Zinc                         ,                          ,
DYSS-7-5-Y1F-AMORTYZATOR-H      , DYSS-7-5-Y1F                    , Amortyzator(8069001)                   ,  2   , -H , ,                          ,                                         , Festo                    ,
E2I_10_16_028_0-PROWADNIK-H      , 0.3m E2i.10.16.028.0 + E2.100.16.12PZ.A1, Prowadnik kablowy 15 ogniw       , 1    , -H , ,                          ,                                         , Igus                     ,
SMT-8M-A-PS-24V-E-0_3-M8-CZUJ-H , SMT-8M-A-PS-24V-E-0.3-M8D       , Czujnik magnet-induk(574334)           ,  6   , -H , ,                          ,                                         , Festo                    ,
GN_822_8_10_20_C-TRZPIEN-H      , GN 822.8-10-20-C                , Trzpień ustalający                     ,  2   , -H , ,                          ,                                         , Elesa                    ,
262160-PRZYLEPIEC_MALY-H        , 262160                          , PRZYLEPIEC_MALY                        ,  4   , -H , ,                          ,                                         , kat. haupa               ,
HNA-12_MOCOWANIE_SILOWNIKA-H    , HNA-12                          , Mocowanie siłownika (537237)           ,  1   , -H , ,                          ,                                         , Festo                    ,
IX24_02020107-PODPARCIE_SZYNY-F , IX24.02.02.01.07                , PODPARCIE_SZYNY                        ,  1   , -F , S235JRC-C           , Hartować / Toughen 50 HRC, Czernić / Blacken                       ,                          ,
IX24_02020108-DYST_PODP-L       , IX24.02.02.01.08                , DYST_PODP                              ,  5   , -L , X5CRNI18-10         , Brak / None              , Gratować w bębnie / Deburr              ,                          ,
799103-M5_TYP_S-N               , 7991010- typ S                  , Podkladka sprężysta M5 typ S           ,  12  , -N , ,                          ,                                         , Fabory                   ,
DIN912-M5X20_88_OC-N            , PN-EN ISO 4762                  , Śruba walcowa M5x20/8.8 ocynk          ,  12  , -N , ,                          ,                                         , kat. Fabory              ,
DIN7984-M5X16_88_OC-N           , DIN 7984                        , Śruba walcowa M5x16 niska/8.8 ocynk    ,  2   , -N , ,                          ,                                         , Fabory                   ,
799103-M8_TYP_S-N               , 7991010- typ S                  , Podkladka sprężysta M8 typ S           ,  4   , -N , ,                          ,                                         , Fabory                   ,
DIN912-M8X30_88_OC-N            , PN-EN ISO 4762                  , Śruba walcowa M8x30/8.8 ocynk          ,  4   , -N , ,                          ,                                         , kat. Fabory              ,
DIN7991-M5X16_109_OC-N          , PN-EN ISO 10642                 , Śruba stożkowa M5x16/10.9 ocynk        ,  5   , -N , ,                          ,                                         , Fabory                   ,
DIN912-M4X16_88_OC-N            , PN-EN ISO 4762                  , Śruba walcowa M4x16/8.8 ocynk          ,  4   , -N , ,                          ,                                         , kat. Fabory              ,
DIN912-M4X20_88_OC-N            , PN-EN ISO 4762                  , Śruba walcowa M4x20/8.8 ocynk          ,  11  , -N , ,                          ,                                         , kat. Fabory              ,
799103-M6_TYP_S-N               , 7991010- typ S                  , Podkladka sprężysta M6 typ S           ,  28  , -N , ,                          ,                                         , Fabory                   ,
799103-M4_TYP_S-N               , 7991010- typ S                  , Podkladka sprężysta M4 typ S           ,  4   , -N , ,                          ,                                         , Fabory                   ,
ISO7380-M3X6-N                  , ISO 7380-1                      , Śruba soczewkowa M3x6/10.9 ocynk       ,  2   , -N , ,                          ,                                         , Fabory                   ,
DIN7991-M3X16_109_OC-N          , PN-EN ISO 10642                 , Śruba stożkowa M3x16/10.9 ocynk        ,  2   , -N , ,                          ,                                         , Fabory                   ,
DIN7991-M3X8_109_OC-N           , PN-EN ISO 10642                 , Śruba stożkowa M3x8/10.9 ocynk         ,  3   , -N , ,                          ,                                         , Fabory                   ,
DIN7991-M3X6_109_OC-N           , PN-EN ISO 10642                 , Śruba stożkowa M3x6/10.9 ocynk         ,  1   , -N , ,                          ,                                         , Fabory                   ,
DIN912-M6X20_88_OC-N            , PN-EN ISO 4762                  , Śruba walcowa M6x20/8.8 ocynk          ,  8   , -N , ,                          ,                                         , kat. Fabory              ,
ISO4032-M3-N                    , ISO 4032                        , Nakrętka sześciokątna M3               ,  2   , -N , ,                          ,                                         , Fabory                   ,
IX24_02020201-GNIAZDO_PRAWE-F   , IX24.02.02.02.01                , GNIAZDO_PRAWE                          ,  1   , -F , AW7075              , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
IX24_02020202-PROWADZ_PRAWE-F   , IX24.02.02.02.02                , PROWADZ_PRAWE                          ,  2   , -F , 40CRMNMOS8-6        , Azotować / Nitrogen        Czernić / Blacken                       ,                          ,
IX24_02020203-PL_SILOW_ROZ_P-F  , IX24.02.02.02.03                , PL_SILOW_ROZ_P                         ,  1   , -F , harden,
DFM-20-20-B-P-A-KF-AJ-EJ-SIL-H  , DFM-20-20-B-P-A-KF-AJ-EJ        , Siłownik z prowadzeniem(532316)        ,  2   , -H , S235JRC-C           , Brak / None              , Cynkować / Zinc                         ,                          ,
DFM-20-20-B-P-A-KF-AJ-EJ-SIL-H1 , nr. katalogowy                  , nazwa katalogowa                       ,  2   , H1 , ,                          ,                                         , Festo                    ,
DFM-20-20-B-P-A-KF-AJ-EJ-SIL-H2 ,                                 ,                                        ,  8   , H2 , ,                          ,                                         , Producent                ,
DFM-20-20-B-P-A-KF-AJ-EJ-SIL-H3 ,                                 ,                                        ,  4   , H3 , ,                          ,                                         ,                          ,
DFM-20-20-B-P-A-KF-AJ-EJ-SIL-H4 ,                                 ,                                        ,  4   , H4 , ,                          ,                                         ,                          ,
DFM-20-20-B-P-A-KF-AJ-EJ-SIL-H5 ,                                 ,                                        ,  2   , H5 , ,                          ,                                         ,                          ,
DFM-20-20-B-P-A-KF-AJ-EJ-SIL-H6 ,                                 ,                                        ,  2   , H6 , ,                          ,                                         ,                          ,
IX24_02020204A-PL_LAPKI-F       , IX24.02.02.02.04A               , PL_LAPKI                               ,  2   , -F , ,                          ,                                         ,                          ,
IX24_02020205-LAPKA_ROZSEP_P-F  , IX24.02.02.02.05                , LAPKA_ROZSEP_P                         ,  2   , -F , S235JRC-C           , Brak / None              , Cynkować / Zinc                         ,                          ,
IX24_02020206-BL_DYSTANS_ROZ-L  , IX24.02.02.02.06                , BL_DYSTANS_ROZ                         ,  41  , -L , X160CRMOV121        , Hartować / Toughen 50 HRC, Czernić / Blacken                       ,                          ,
DIN912-M5X40_88_OC-N            , PN-EN ISO 4762                  , Śruba walcowa M5x40/8.8 ocynk          ,  8   , -N , X5CRNI18-10         , Brak / None              , Gratować w bębnie / Deburr              ,                          ,
DIN912-M6X35_88_OC-N            , PN-EN ISO 4762                  , Śruba walcowa M6x35/8.8 ocynk          ,  8   , -N , ,                          ,                                         , kat. Fabory              ,
IX24_02020301-GNIAZDO_LEWE-F    , IX24.02.02.03.01                , GNIAZDO_LEWE                           ,  1   , -F , ,                          ,                                         , kat. Fabory              ,
IX24_02020302-PROWADZ_LEWE-F    , IX24.02.02.03.02                , PROWADZ_LEWE                           ,  1   , -F , AW7075              , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
IX24_02020302L-PROWADZ_LEWE-F   , IX24.02.02.03.02L               , PROWADZ_LEWE                           ,  1   , -F , 40CRMNMOS8-6        , Azotować / Nitrogen        Czernić / Blacken                       ,                          ,
IX24_02020303-PL_SILOW_ROZ_L-F  , IX24.02.02.03.03                , PL_SILOW_ROZ_L                         ,  1   , -F , harden,
IX24_02020305-LAPKA_ROZSEP_L-F  , IX24.02.02.03.05                , LAPKA_ROZSEP_L                         ,  2   , -F , SSIGNED             ,                          ,                                         ,                          ,
ISO7089-M6-N                    , ISO 7089                        , Podkładka okrągła M6                   ,  4   , -N , S235JRC-C           , Brak / None              , Cynkować / Zinc                         ,                          ,
IX24_02020401A-BLAT-F           , IX24.02.02.04.01A               , BLAT                                   ,  1   , -F , X160CRMOV121        , Hartować / Toughen 50 HRC, Czernić / Blacken                       ,                          ,
IX24_02020402-SZYNA_HGR15T-H    , HGR15T L=422; E1=25; E2=37      , Szyna profilowa                        ,  1   , H , ,                          ,                                         , Fabory                   ,
IX24_02020403A-KOLEK_POZ-T      , IX24.02.02.04.03A               , KOLEK_POZ                              ,  2   , -T , HARDOX-400          , Brak / None              , Cynkować / Zinc                         ,                          ,
IX24_02020404A-PLASK_NAPED-F    , IX24.02.02.04.04A               , PLASK_NAPED                            ,  1   , -F , Stal                ,                          ,                                         , kat. HIWIN               ,
IX24_02020405-ZDERZ_ROZSEP_2-F  , IX24.02.02.04.05                , ZDERZ_ROZSEP_2                         ,  1   , -F , C45                 , Hartować / Toughen 50 HRC, Czernić / Blacken                       ,                          ,
BES01YM-INDUK-H                 , BES01YM                         , Czujnik indukcyjny                     ,  2   , -H , AW2017              , Brak / None              , Zmatowić / Matt                         ,                          ,
IX24_02020406-DEKIEL_1-D        , IX24.02.02.04.06                , DEKIEL_1                               ,  1   , -D , S235JRC-C           , Hartować / Toughen 50 HRC, Cynkować / Zinc                         ,                          ,
IX24_02020407-DEKIEL_2-D        , IX24.02.02.04.07                , DEKIEL_2                               ,  1   , -D , ,                          ,                                         ,  Balluff                 ,
DIN7991-M5X10_109_OC-N          , PN-EN ISO 10642                 , Śruba stożkowa M5x10/10.9 ocynk        ,  1   , -N , HARDOX-400          , Brak / None              , Cynkować / Zinc                         ,                          ,
